Total live births
Last modified: 06/10/2017
Code Year         Total
FRATNP  2000     774782.00
FRATNP  2001     770945.00
FRATNP  2002     761630.00
FRATNP  2003     761464.00
FRATNP  2004     767816.00
FRATNP  2005     774355.00
FRATNP  2006     796896.00
FRATNP  2007     785985.00
FRATNP  2008     796044.00
FRATNP  2009     793420.00
FRATNP  2010     802224.00
FRATNP  2011     792996.00
FRATNP  2012     790290.00
FRATNP  2013     781621.00
FRATNP  2014     781167.00
FRATNP  2015     760421.00
DEUTNP  1956    1137168.99
DEUTNP  1957    1165555.07
DEUTNP  1958    1175870.05
DEUTNP  1959    1243922.00
DEUTNP  1960    1261614.03
DEUTNP  1961    1313504.93
DEUTNP  1962    1316534.00
DEUTNP  1963    1355595.00
DEUTNP  1964    1357303.99
DEUTNP  1965    1325386.03
DEUTNP  1966    1318303.04
DEUTNP  1967    1272275.99
DEUTNP  1968    1214968.03
DEUTNP  1969    1142366.01
DEUTNP  1970    1047736.95
DEUTNP  1971    1013396.01
DEUTNP  1972     901657.00
DEUTNP  1973     815968.97
DEUTNP  1974     805500.03
DEUTNP  1975     782309.98
DEUTNP  1976     798334.00
DEUTNP  1977     805495.98
DEUTNP  1978     808618.99
DEUTNP  1979     817217.01
DEUTNP  1980     865789.00
DEUTNP  1981     862100.05
DEUTNP  1982     861275.01
DEUTNP  1983     827932.98
DEUTNP  1984     812291.99
DEUTNP  1985     813803.03
DEUTNP  1986     848231.99
DEUTNP  1987     867969.01
DEUTNP  1988     892993.03
DEUTNP  1989     880458.99
DEUTNP  1990     905674.99
DEUTNP  1991     830018.97
DEUTNP  1992     809113.99
DEUTNP  1993     798446.98
DEUTNP  1994     769602.99
DEUTNP  1995     765221.01
DEUTNP  1996     796013.00
DEUTNP  1997     812172.96
DEUTNP  1998     785033.96
DEUTNP  1999     770744.01
DEUTNP  2000     766999.00
DEUTNP  2001     734474.99
DEUTNP  2002     719250.01
DEUTNP  2003     706720.99
DEUTNP  2004     705622.01
DEUTNP  2005     685795.02
DEUTNP  2006     672723.99
DEUTNP  2007     684861.98
DEUTNP  2008     682514.00
DEUTNP  2009     665125.99
DEUTNP  2010     677947.00
DEUTNP  2011     662685.01
DEUTNP  2012     673543.97
DEUTNP  2013     682068.99
DEUTW  1956     855887.04
DEUTW  1957     892228.01
DEUTW  1958     904465.04
DEUTW  1959     951941.99
DEUTW  1960     968629.02
DEUTW  1961    1012687.04
DEUTW  1962    1018552.02
DEUTW  1963    1054123.01
DEUTW  1964    1065437.01
DEUTW  1965    1044327.98
DEUTW  1966    1050344.99
DEUTW  1967    1019459.00
DEUTW  1968     969824.98
DEUTW  1969     903455.98
DEUTW  1970     810807.99
DEUTW  1971     778525.99
DEUTW  1972     701213.97
DEUTW  1973     635632.99
DEUTW  1974     626372.97
DEUTW  1975     600512.00
DEUTW  1976     602850.98
DEUTW  1977     582343.99
DEUTW  1978     576467.98
DEUTW  1979     581984.00
DEUTW  1980     620656.99
DEUTW  1981     624556.99
DEUTW  1982     621173.01
DEUTW  1983     594177.03
DEUTW  1984     584156.99
DEUTW  1985     586155.01
DEUTW  1986     625963.02
DEUTW  1987     642010.02
DEUTW  1988     677259.00
DEUTW  1989     681537.01
DEUTW  1990     705048.98
DEUTW  1991     700399.99
DEUTW  1992     698906.03
DEUTW  1993     696713.00
DEUTW  1994     669988.01
DEUTW  1995     660840.99
DEUTW  1996     681456.98
DEUTW  1997     690711.01
DEUTW  1998     661719.98
DEUTW  1999     643886.00
DEUTW  2000     636102.00
DEUTW  2001     607824.01
DEUTW  2002     594099.00
DEUTW  2003     581366.99
DEUTW  2004     577291.98
DEUTW  2005     560091.99
DEUTW  2006     546690.99
DEUTW  2007     553892.01
DEUTW  2008     549231.99
DEUTW  2009     533380.00
DEUTW  2010     542345.00
DEUTW  2011     530360.00
DEUTW  2012     538753.02
DEUTW  2013     547092.99
DEUTE  1956     281282.01
DEUTE  1957     273326.99
DEUTE  1958     271404.99
DEUTE  1959     291980.01
DEUTE  1960     292985.00
DEUTE  1961     300817.99
DEUTE  1962     297981.99
DEUTE  1963     301471.99
DEUTE  1964     291867.00
DEUTE  1965     281057.97
DEUTE  1966     267957.99
DEUTE  1967     252817.02
DEUTE  1968     245142.99
DEUTE  1969     238909.98
DEUTE  1970     236929.00
DEUTE  1971     234870.02
DEUTE  1972     200443.01
DEUTE  1973     180336.02
DEUTE  1974     179127.00
DEUTE  1975     181798.05
DEUTE  1976     195482.99
DEUTE  1977     223152.00
DEUTE  1978     232151.01
DEUTE  1979     235233.02
DEUTE  1980     245132.02
DEUTE  1981     237543.03
DEUTE  1982     240102.00
DEUTE  1983     233756.01
DEUTE  1984     228134.99
DEUTE  1985     227648.01
DEUTE  1986     222268.99
DEUTE  1987     225959.01
DEUTE  1988     215734.01
DEUTE  1989     198921.99
DEUTE  1990     163030.02
DEUTE  1991      99057.01
DEUTE  1992      80541.01
DEUTE  1993      73010.00
DEUTE  1994      71112.00
DEUTE  1995      75731.99
DEUTE  1996      84651.01
DEUTE  1997      91092.99
DEUTE  1998      93702.00
DEUTE  1999      97001.99
DEUTE  2000     101201.99
DEUTE  2001      98026.99
DEUTE  2002      96350.00
DEUTE  2003      96631.01
DEUTE  2004      98884.00
DEUTE  2005      96727.00
DEUTE  2006      96406.01
DEUTE  2007      99795.99
DEUTE  2008     101346.02
DEUTE  2009      99641.99
DEUTE  2010     102209.01
DEUTE  2011      99250.00
DEUTE  2012     100113.03
DEUTE  2013      99938.02
HUN  1950     195567.01
HUN  1951     190644.93
HUN  1952     185819.99
HUN  1953     206925.97
HUN  1954     223347.03
HUN  1955     210430.01
HUN  1956     192809.95
HUN  1957     167201.97
HUN  1958     158427.98
HUN  1959     151194.03
HUN  1960     146460.99
HUN  1961     140365.04
HUN  1962     130053.01
HUN  1963     132335.00
HUN  1964     132141.01
HUN  1965     133009.00
HUN  1966     138489.00
HUN  1967     148885.99
HUN  1968     154419.00
HUN  1969     154318.01
HUN  1970     151819.00
HUN  1971     150640.00
HUN  1972     153265.00
HUN  1973     156223.00
HUN  1974     186288.00
HUN  1975     194240.00
HUN  1976     185405.00
HUN  1977     177574.00
HUN  1978     168160.00
HUN  1979     160364.00
HUN  1980     148673.00
HUN  1981     142890.00
HUN  1982     133559.00
HUN  1983     127258.00
HUN  1984     125359.00
HUN  1985     130200.00
HUN  1986     128204.00
HUN  1987     125840.00
HUN  1988     124296.00
HUN  1989     123304.00
HUN  1990     125679.00
HUN  1991     127207.00
HUN  1992     121724.00
HUN  1993     117033.00
HUN  1994     115598.00
HUN  1995     112054.00
HUN  1996     105272.00
HUN  1997     100350.00
HUN  1998      97300.00
HUN  1999      94645.00
HUN  2000      97597.00
HUN  2001      97047.00
HUN  2002      96804.00
HUN  2003      94647.00
HUN  2004      95137.00
HUN  2005      97496.00
HUN  2006      99871.00
HUN  2007      97613.00
HUN  2008      99149.00
HUN  2009      96442.00
HUN  2010      90335.00
HUN  2011      88049.00
HUN  2012      90270.00
HUN  2013      88689.00
HUN  2014      91510.00
ISL  1960       4916.00
ISL  1961       4562.99
ISL  1962       4710.99
ISL  1963       4820.00
ISL  1964       4787.00
ISL  1965       4721.00
ISL  1966       4692.00
ISL  1967       4403.99
ISL  1968       4226.99
ISL  1969       4218.00
ISL  1970       4023.00
ISL  1971       4277.00
ISL  1972       4675.99
ISL  1973       4598.01
ISL  1974       4276.00
ISL  1975       4384.00
ISL  1976       4291.00
ISL  1977       3996.00
ISL  1978       4162.00
ISL  1979       4475.00
ISL  1980       4528.01
ISL  1981       4345.00
ISL  1982       4337.01
ISL  1983       4370.99
ISL  1984       4113.01
ISL  1985       3855.99
ISL  1986       3881.00
ISL  1987       4193.01
ISL  1988       4673.00
ISL  1989       4560.00
ISL  1990       4768.00
ISL  1991       4533.00
ISL  1992       4609.00
ISL  1993       4623.00
ISL  1994       4442.00
ISL  1995       4280.00
ISL  1996       4329.00
ISL  1997       4151.00
ISL  1998       4178.00
ISL  1999       4100.00
ISL  2000       4315.00
ISL  2001       4091.00
ISL  2002       4049.00
ISL  2003       4143.00
ISL  2004       4234.00
ISL  2005       4280.00
ISL  2006       4415.54
ISL  2007       4560.46
ISL  2008       4835.00
ISL  2009       5025.00
ISL  2010       4907.00
ISL  2011       4492.00
ISL  2012       4533.00
ITA  1954     881844.84
ITA  1955     879129.97
ITA  1956     884043.07
ITA  1957     885810.01
ITA  1958     880361.00
ITA  1959     910627.74
ITA  1960     923003.85
ITA  1961     924222.64
ITA  1962     945846.58
ITA  1963     978153.62
ITA  1964    1035188.73
ITA  1965    1017946.38
ITA  1966     999315.78
ITA  1967     962197.18
ITA  1968     944836.56
ITA  1969     949155.10
ITA  1970     917495.97
ITA  1971     911047.12
ITA  1972     893060.92
ITA  1973     887953.10
ITA  1974     886309.89
ITA  1975     841857.67
ITA  1976     806357.80
ITA  1977     757246.17
ITA  1978     720851.82
ITA  1979     682631.95
ITA  1980     657293.85
ITA  1981     628181.03
ITA  1982     634794.00
ITA  1983     614006.02
ITA  1984     598041.07
ITA  1985     589519.15
ITA  1986     563602.00
ITA  1987     560658.16
ITA  1988     579055.02
ITA  1989     569242.25
ITA  1990     579343.06
ITA  1991     571323.76
ITA  1992     575215.79
ITA  1993     552586.60
ITA  1994     536665.11
ITA  1995     526064.14
ITA  1996     536739.90
ITA  1997     540048.02
ITA  1998     532842.64
ITA  1999     537241.97
ITA  2000     543038.98
ITA  2001     535282.02
ITA  2002     538197.96
ITA  2003     544062.99
ITA  2004     562599.00
ITA  2005     554021.99
ITA  2006     560010.01
ITA  2007     563933.00
ITA  2008     576658.99
ITA  2009     568857.02
ITA  2010     561943.98
ITA  2011     546606.99
ITA  2012     534185.98
ITA  2013     514308.01
ITA  2014     502596.00
JPN  1947    2678792.03
JPN  1948    2681623.97
JPN  1949    2696637.98
JPN  1950    2337506.99
JPN  1951    2137689.05
JPN  1952    2005161.97
JPN  1953    1868039.99
JPN  1954    1769580.03
JPN  1955    1730691.97
JPN  1956    1665277.99
JPN  1957    1566713.00
JPN  1958    1653469.00
JPN  1959    1626088.01
JPN  1960    1606040.94
JPN  1961    1589372.04
JPN  1962    1618616.01
JPN  1963    1659520.97
JPN  1964    1716760.98
JPN  1965    1823696.98
JPN  1966    1360974.02
JPN  1967    1935646.99
JPN  1968    1871839.03
JPN  1969    1889814.99
JPN  1970    1934239.05
JPN  1971    2000972.98
JPN  1972    2038681.99
JPN  1973    2091982.98
JPN  1974    2029988.98
JPN  1975    1901439.98
JPN  1976    1832617.04
JPN  1977    1755100.01
JPN  1978    1708643.01
JPN  1979    1642580.00
JPN  1980    1576888.97
JPN  1981    1529454.96
JPN  1982    1515392.01
JPN  1983    1508686.98
JPN  1984    1489779.97
JPN  1985    1431577.00
JPN  1986    1382945.99
JPN  1987    1346658.03
JPN  1988    1314006.03
JPN  1989    1246802.01
JPN  1990    1221584.98
JPN  1991    1223245.00
JPN  1992    1208989.02
JPN  1993    1188282.03
JPN  1994    1238328.04
JPN  1995    1187064.02
JPN  1996    1206554.97
JPN  1997    1191665.02
JPN  1998    1203147.00
JPN  1999    1177668.99
JPN  2000    1190546.98
JPN  2001    1170661.98
JPN  2002    1153854.99
JPN  2003    1123610.00
JPN  2004    1110721.01
JPN  2005    1062530.01
JPN  2006    1092674.00
JPN  2007    1089817.99
JPN  2008    1091156.02
JPN  2009    1070035.01
JPN  2010    1071303.99
JPN  2011    1050806.03
JPN  2012    1037230.97
JPN  2013    1029815.98
JPN  2014    1003539.00
LTU  1959      62240.99
LTU  1960      62484.93
LTU  1961      62775.01
LTU  1962      59728.00
LTU  1963      57023.99
LTU  1964      55855.97
LTU  1965      53818.03
LTU  1966      54275.03
LTU  1967      53805.99
LTU  1968      54258.00
LTU  1969      54263.00
LTU  1970      55519.00
LTU  1971      56044.01
LTU  1972      54616.00
LTU  1973      51943.99
LTU  1974      51941.00
LTU  1975      51765.99
LTU  1976      52295.99
LTU  1977      52166.00
LTU  1978      51820.99
LTU  1979      51936.96
LTU  1980      51764.97
LTU  1981      52248.98
LTU  1982      53141.00
LTU  1983      57589.00
LTU  1984      57575.98
LTU  1985      58453.99
LTU  1986      59705.00
LTU  1987      59360.00
LTU  1988      56726.99
LTU  1989      55781.97
LTU  1990      56867.99
LTU  1991      56018.99
LTU  1992      54417.00
LTU  1993      47464.01
LTU  1994      42375.97
LTU  1995      41194.99
LTU  1996      39065.99
LTU  1997      37811.97
LTU  1998      37018.98
LTU  1999      36414.98
LTU  2000      34148.98
LTU  2001      31185.01
LTU  2002      29541.00
LTU  2003      29976.99
LTU  2004      29768.96
LTU  2005      29509.99
LTU  2006      29606.01
LTU  2007      30020.00
LTU  2008      31535.98
LTU  2009      32164.97
LTU  2010      30675.98
LTU  2011      30268.00
LTU  2012      30459.00
LTU  2013      29885.00
LTU  2014      30368.98
NLD  1950     229718.02
NLD  1951     228407.02
NLD  1952     231888.00
NLD  1953     227964.01
NLD  1954     228172.99
NLD  1955     229221.99
NLD  1956     231492.00
NLD  1957     233891.99
NLD  1958     236859.00
NLD  1959     242517.99
NLD  1960     239128.01
NLD  1961     247407.00
NLD  1962     246149.99
NLD  1963     249878.99
NLD  1964     250913.98
NLD  1965     245216.01
NLD  1966     239610.99
NLD  1967     238678.00
NLD  1968     237112.00
NLD  1969     247587.99
NLD  1970     238912.01
NLD  1971     227180.00
NLD  1972     214133.02
NLD  1973     194992.99
NLD  1974     185982.01
NLD  1975     177876.01
NLD  1976     177089.99
NLD  1977     173296.00
NLD  1978     175550.00
NLD  1979     174978.99
NLD  1980     181294.02
NLD  1981     178569.01
NLD  1982     172071.01
NLD  1983     170246.00
NLD  1984     174435.99
NLD  1985     178136.01
NLD  1986     184513.01
NLD  1987     186666.99
NLD  1988     186647.01
NLD  1989     188978.99
NLD  1990     197965.00
NLD  1991     198665.00
